match_id,player_id,result,session_length_min,reaction_time_ms,damage_per_hit,account_age_days,rank_mmr
MP0021_2,P0021,loss,16,188,17,665,1404
MP0021_3,P0021,loss,19,225,21,665,1070
MP0021_4,P0021,loss,31,284,31,665,1827
MP0021_5,P0021,win,18,300,23,665,1786
MP0021_6,P0021,win,29,287,40,665,1035
MP0021_7,P0021,loss,17,243,39,665,1262
MP0021_8,P0021,loss,33,294,40,665,1941
MP0021_9,P0021,win,33,230,15,665,1341
MP0021_10,P0021,win,31,252,36,665,2176
MP0021_11,P0021,loss,31,217,18,665,2182
MP0022_0,P0022,loss,43,243,25,269,2049
MP0022_1,P0022,loss,37,268,37,269,1418
MP0022_2,P0022,win,16,323,16,269,876
MP0022_3,P0022,loss,15,278,18,269,1280
MP0022_4,P0022,loss,32,353,29,269,1559
MP0022_5,P0022,loss,42,325,28,269,2002
MP0022_6,P0022,loss,34,335,35,269,1002
MP0022_7,P0022,win,34,346,23,269,867
MP0022_8,P0022,win,36,328,29,269,1283
MP0022_9,P0022,win,31,349,32,269,2120
MP0022_10,P0022,win,25,285,21,269,1050
MP0022_11,P0022,loss,13,348,36,269,1234
MP0023_0,P0023,loss,23,131,19,687,1956
MP0023_1,P0023,win,43,151,21,687,2000
MP0023_2,P0023,loss,22,152,25,687,1102
MP0023_3,P0023,loss,8,225,23,687,1096
MP0023_4,P0023,loss,19,141,18,687,2153
MP0023_5,P0023,win,8,235,26,687,1287
MP0023_6,P0023,win,19,200,23,687,907
MP0023_7,P0023,loss,41,141,18,687,930
MP0023_8,P0023,win,31,185,31,687,2015
MP0023_9,P0023,win,22,138,34,687,888
MP0023_10,P0023,loss,41,218,24,687,1738
MP0023_11,P0023,loss,11,207,30,687,1622
MP0024_0,P0024,loss,36,209,17,466,965
MP0024_1,P0024,loss,12,188,19,466,1363
MP0024_2,P0024,loss,43,226,37,466,1465
MP0024_3,P0024,loss,41,195,24,466,1729
MP0024_4,P0024,loss,14,211,40,466,1034
MP0024_5,P0024,loss,43,256,38,466,1240
MP0024_6,P0024,win,22,202,28,466,1494
MP0024_7,P0024,win,34,252,38,466,994
MP0024_8,P0024,win,24,187,26,466,1112
MP0024_9,P0024,loss,12,234,17,466,974
MP0024_10,P0024,win,31,158,40,466,1066
MP0024_11,P0024,win,43,218,32,466,1475
MP0025_0,P0025,win,35,203,38,716,905
MP0025_1,P0025,loss,30,187,18,716,1983
MP0025_2,P0025,win,38,215,22,716,1021
MP0025_3,P0025,loss,31,195,18,716,1370
MP0025_4,P0025,win,35,224,32,716,2073
MP0025_5,P0025,loss,43,229,15,716,2047
MP0025_6,P0025,loss,25,269,15,716,1169
MP0025_7,P0025,loss,27,185,25,716,1518
MP0025_8,P0025,win,17,151,33,716,2146
MP0025_9,P0025,win,9,202,17,716,1886
MP0025_10,P0025,win,37,178,25,716,1122
MP0025_11,P0025,win,28,198,39,716,1962
MP0026_0,P0026,win,18,254,39,640,2065
MP0026_1,P0026,loss,25,147,29,640,2155
MP0026_2,P0026,win,36,195,28,640,1359
MP0026_3,P0026,loss,15,168,26,640,1680
MP0026_4,P0026,win,45,155,30,640,1879
MP0026_5,P0026,win,22,226,27,640,2027
MP0026_6,P0026,win,27,148,21,640,1081
MP0026_7,P0026,win,28,238,18,640,815
MP0026_8,P0026,loss,19,204,19,640,1578
MP0026_9,P0026,loss,40,209,32,640,2168
MP0026_10,P0026,win,33,244,38,640,886
MP0026_11,P0026,win,12,196,25,640,1979
MP0027_0,P0027,loss,26,313,18,469,1629
MP0027_1,P0027,loss,18,225,40,469,2065
MP0027_2,P0027,loss,31,281,17,469,1694
MP0027_3,P0027,win,35,331,33,469,1620
MP0027_4,P0027,win,27,290,38,469,1495
MP0027_5,P0027,win,18,251,17,469,1845
MP0027_6,P0027,win,40,304,21,469,1515
MP0027_7,P0027,loss,17,267,22,469,1010
MP0027_8,P0027,win,19,241,34,469,1113
MP0027_9,P0027,loss,12,320,20,469,2086
MP0027_10,P0027,win,44,286,39,469,1986
MP0027_11,P0027,loss,44,280,35,469,2101
MP0028_0,P0028,loss,28,312,19,669,1700
MP0028_1,P0028,win,27,210,40,669,1362
MP0028_2,P0028,win,40,277,17,669,1435
MP0028_3,P0028,win,11,261,26,669,1387
MP0028_4,P0028,loss,13,211,34,669,2016
MP0028_5,P0028,win,45,266,32,669,884
MP0028_6,P0028,loss,44,259,35,669,1185
MP0028_7,P0028,loss,40,243,19,669,926
MP0028_8,P0028,win,29,259,37,669,972
MP0028_9,P0028,loss,10,266,22,669,1696
MP0028_10,P0028,loss,18,258,26,669,1563
MP0028_11,P0028,win,34,319,39,669,1492
MP0029_0,P0029,loss,29,234,17,725,1475
MP0029_1,P0029,loss,32,145,24,725,1316
MP0029_2,P0029,loss,17,225,25,725,966
MP0029_3,P0029,loss,30,207,24,725,2143
MP0029_4,P0029,loss,16,222,34,725,973
MP0029_5,P0029,loss,29,172,19,725,2172
MP0029_6,P0029,loss,41,222,17,725,2123
MP0029_7,P0029,win,31,218,15,725,1542
MP0029_8,P0029,win,21,172,25,725,1795
MP0029_9,P0029,win,16,157,19,725,958
MP0029_10,P0029,loss,14,170,31,725,1905
MP0029_11,P0029,loss,41,239,16,725,2155
MP0030_0,P0030,win,18,229,20,374,2079
MP0030_1,P0030,loss,36,256,16,374,1641
MP0030_2,P0030,loss,23,199,29,374,2050
MP0030_3,P0030,loss,36,189,22,374,1893
MP0030_4,P0030,win,38,183,21,374,1553
MP0030_5,P0030,loss,36,239,29,374,1377
MP0030_6,P0030,win,41,252,28,374,1131
MP0030_7,P0030,win,16,257,23,374,906
MP0030_8,P0030,win,31,235,32,374,1010
MP0030_9,P0030,loss,15,244,24,374,971
MP0030_10,P0030,win,36,250,31,374,1101
MP0030_11,P0030,win,22,259,29,374,1515
MP0031_0,P0031,win,31,232,22,57,1590
MP0031_1,P0031,win,9,236,25,57,1002
MP0031_2,P0031,loss,29,333,40,57,1099
MP0031_3,P0031,win,38,243,37,57,1084
MP0031_4,P0031,loss,36,323,34,57,810
MP0031_5,P0031,win,24,341,21,57,1106
MP0031_6,P0031,loss,41,296,28,57,1027
MP0031_7,P0031,win,27,325,18,57,897
MP0031_8,P0031,win,37,256,17,57,1027
MP0031_9,P0031,loss,42,333,15,57,2094
MP0031_10,P0031,loss,17,291,24,57,1679
MP0031_11,P0031,loss,23,226,33,57,1653
MP0032_0,P0032,loss,12,208,31,221,1914
MP0032_1,P0032,loss,40,205,32,221,841
MP0032_2,P0032,loss,10,190,35,221,1592
MP0032_3,P0032,win,9,188,26,221,938
MP0032_4,P0032,win,14,185,39,221,1991
MP0032_5,P0032,loss,16,235,16,221,1521
MP0032_6,P0032,win,19,210,39,221,1751
MP0032_7,P0032,win,19,230,40,221,1076
MP0032_8,P0032,loss,37,149,16,221,1400
MP0032_9,P0032,win,20,166,16,221,1446
MP0032_10,P0032,win,33,260,32,221,1769
MP0032_11,P0032,win,20,173,24,221,1531
MP0033_0,P0033,loss,25,242,18,829,1553
MP0033_1,P0033,loss,36,187,27,829,1494
MP0033_2,P0033,win,39,155,26,829,1863
MP0033_3,P0033,loss,35,166,17,829,1681
MP0033_4,P0033,loss,19,209,32,829,1401
MP0033_5,P0033,win,28,173,36,829,1405
MP0033_6,P0033,win,35,171,20,829,1709
MP0033_7,P0033,win,30,176,34,829,1690
MP0033_8,P0033,loss,11,167,17,829,2174
MP0033_9,P0033,win,40,213,40,829,2191
MP0033_10,P0033,loss,17,152,34,829,2188
MP0033_11,P0033,win,16,232,17,829,1283
MP0034_0,P0034,win,44,259,16,827,2039
MP0034_1,P0034,loss,31,232,26,827,1709
MP0034_2,P0034,win,16,310,31,827,1551
MP0034_3,P0034,win,25,263,22,827,1032
MP0034_4,P0034,loss,39,216,31,827,1592
MP0034_5,P0034,loss,24,329,39,827,1333
MP0034_6,P0034,win,26,303,37,827,1805
MP0034_7,P0034,win,12,238,29,827,1153
MP0034_8,P0034,loss,13,328,40,827,2196
MP0034_9,P0034,loss,30,321,37,827,932
MP0034_10,P0034,loss,27,283,20,827,2106
MP0034_11,P0034,loss,40,235,22,827,1048
MP0035_0,P0035,loss,9,185,26,235,1934
MP0035_1,P0035,win,43,228,19,235,2053
MP0035_2,P0035,win,27,268,27,235,1780
MP0035_3,P0035,win,34,222,33,235,951
MP0035_4,P0035,loss,12,171,29,235,1754
MP0035_5,P0035,loss,16,242,39,235,1929
MP0035_6,P0035,loss,16,236,28,235,1829
MP0035_7,P0035,loss,15,271,31,235,1113
MP0035_8,P0035,win,28,193,37,235,1261
MP0035_9,P0035,loss,41,199,24,235,961
MP0035_10,P0035,win,43,187,23,235,1056
MP0035_11,P0035,win,42,235,17,235,1829
MP0036_0,P0036,loss,17,238,20,686,2149
MP0036_1,P0036,loss,29,242,33,686,884
MP0036_2,P0036,loss,13,268,16,686,2113
MP0036_3,P0036,loss,21,261,39,686,1971
MP0036_4,P0036,loss,9,216,30,686,2084
MP0036_5,P0036,win,27,232,30,686,1301
MP0036_6,P0036,loss,33,266,24,686,1728
MP0036_7,P0036,loss,18,172,29,686,1651
MP0036_8,P0036,win,29,224,34,686,1094
MP0036_9,P0036,loss,28,203,38,686,1507
MP0036_10,P0036,win,31,214,31,686,1950
MP0036_11,P0036,win,37,176,18,686,1347
MP0037_0,P0037,win,26,201,27,490,2060
MP0037_1,P0037,win,18,236,25,490,1983
MP0037_2,P0037,win,18,275,30,490,1854
MP0037_3,P0037,win,27,242,30,490,847
MP0037_4,P0037,loss,40,194,29,490,1293
MP0037_5,P0037,loss,11,210,16,490,1376
MP0037_6,P0037,loss,38,246,24,490,1899
MP0037_7,P0037,loss,35,184,19,490,1341
MP0037_8,P0037,win,33,276,26,490,892
MP0037_9,P0037,win,43,234,21,490,1542
MP0037_10,P0037,win,32,253,31,490,1722
MP0037_11,P0037,loss,15,280,19,490,998
MP0038_0,P0038,loss,43,316,26,433,1095
MP0038_1,P0038,loss,33,240,31,433,882
MP0038_2,P0038,win,29,220,40,433,1770
MP0038_3,P0038,win,40,281,19,433,1471
MP0038_4,P0038,loss,18,334,27,433,2062
MP0038_5,P0038,loss,45,309,25,433,1838
MP0038_6,P0038,loss,39,321,37,433,1952
MP0038_7,P0038,win,9,253,26,433,1478
MP0038_8,P0038,win,34,301,33,433,1430
MP0038_9,P0038,loss,9,316,34,433,1771
MP0038_10,P0038,loss,45,248,33,433,1266
MP0038_11,P0038,win,38,307,20,433,1873
MP0039_0,P0039,loss,23,235,16,674,1972
MP0039_1,P0039,win,9,306,29,674,1442
MP0039_2,P0039,win,21,270,28,674,1827
MP0039_3,P0039,loss,38,316,38,674,927
MP0039_4,P0039,win,21,307,32,674,1465
MP0039_5,P0039,win,32,301,25,674,1154
MP0039_6,P0039,loss,29,275,32,674,1525
MP0039_7,P0039,loss,24,303,34,674,1791
MP0039_8,P0039,loss,25,241,32,674,1411
MP0039_9,P0039,loss,27,245,39,674,1391
MP0039_10,P0039,win,39,307,25,674,1782
MP0039_11,P0039,loss,25,261,24,674,1049
MP0040_0,P0040,loss,33,307,26,617,1099
MP0040_1,P0040,win,13,296,26,617,1705
MP0040_2,P0040,win,38,342,21,617,1213
MP0040_3,P0040,loss,43,364,37,617,1356
MP0040_4,P0040,win,45,276,22,617,1296
MP0040_5,P0040,loss,41,265,22,617,2106
MP0040_6,P0040,win,34,288,25,617,1767
MP0040_7,P0040,loss,16,271,15,617,1927
MP0040_8,P0040,win,38,377,30,617,2132
MP0040_9,P0040,loss,26,284,25,617,1384
MP0040_10,P0040,win,13,341,35,617,1975
MP0040_11,P0040,loss,10,288,20,617,1655
MP0041_0,P0041,loss,33,284,40,887,1814
MP0041_1,P0041,loss,26,188,16,887,818
MP0041_2,P0041,loss,14,203,25,887,1382
MP0041_3,P0041,loss,42,223,31,887,1811
MP0041_4,P0041,loss,40,278,29,887,1358
MP0041_5,P0041,loss,29,189,20,887,1739
MP0041_6,P0041,win,19,247,15,887,1490
MP0041_7,P0041,win,20,266,20,887,2051
MP0041_8,P0041,loss,33,274,28,887,1855
MP0041_9,P0041,win,14,206,20,887,1087
MP0041_10,P0041,win,23,226,15,887,1334
MP0041_11,P0041,win,25,214,25,887,1418
MP0042_0,P0042,loss,23,155,16,626,2167
MP0042_1,P0042,win,18,137,27,626,1829
MP0042_2,P0042,loss,27,240,37,626,1040
MP0042_3,P0042,loss,26,203,26,626,2058
MP0042_4,P0042,win,16,150,30,626,1113
MP0042_5,P0042,loss,31,180,28,626,1924
MP0042_6,P0042,win,42,238,40,626,2160
MP0042_7,P0042,win,23,227,36,626,2020
MP0042_8,P0042,loss,41,233,29,626,1881
MP0042_9,P0042,win,44,212,18,626,926
MP0042_10,P0042,loss,40,228,21,626,1972
MP0042_11,P0042,win,28,190,31,626,1704
MP0043_0,P0043,loss,13,263,31,149,1712
MP0043_1,P0043,win,16,275,31,149,1650
MP0043_2,P0043,loss,43,230,29,149,2177
MP0043_3,P0043,win,9,275,27,149,1321
MP0043_4,P0043,win,21,276,33,149,949
MP0043_5,P0043,win,12,177,32,149,923
MP0043_6,P0043,loss,38,291,16,149,1387
MP0043_7,P0043,win,16,224,39,149,2113
MP0043_8,P0043,loss,34,265,26,149,1583
MP0043_9,P0043,loss,32,229,27,149,964
MP0043_10,P0043,loss,42,259,19,149,2138
MP0043_11,P0043,win,19,282,32,149,1604
MP0044_0,P0044,loss,8,245,39,571,846
MP0044_1,P0044,win,42,190,28,571,1889
MP0044_2,P0044,loss,23,200,29,571,1508
MP0044_3,P0044,win,15,171,16,571,2152
MP0044_4,P0044,loss,9,205,22,571,1222
MP0044_5,P0044,win,10,160,29,571,2024
MP0044_6,P0044,loss,11,238,22,571,890
MP0044_7,P0044,win,42,203,21,571,915
MP0044_8,P0044,loss,26,169,22,571,1979
MP0044_9,P0044,loss,28,192,22,571,1418
MP0044_10,P0044,win,41,264,22,571,1646
MP0044_11,P0044,win,43,190,33,571,1158
MP0045_0,P0045,win,30,300,35,671,2174
MP0045_1,P0045,loss,28,277,37,671,1652
MP0045_2,P0045,win,32,281,20,671,1901
MP0045_3,P0045,win,22,289,24,671,1095
MP0045_4,P0045,win,11,332,32,671,1645
MP0045_5,P0045,loss,16,282,27,671,1297
MP0045_6,P0045,win,13,261,29,671,1559
MP0045_7,P0045,loss,20,240,16,671,1349
MP0045_8,P0045,loss,10,277,17,671,1185
MP0045_9,P0045,loss,43,331,21,671,1781
MP0045_10,P0045,loss,29,255,24,671,831
MP0045_11,P0045,loss,15,256,38,671,1780
MP0046_0,P0046,loss,43,222,25,278,1379
MP0046_1,P0046,win,30,220,24,278,1335
MP0046_2,P0046,loss,39,218,29,278,1001
MP0046_3,P0046,loss,38,274,39,278,1455
MP0046_4,P0046,win,28,289,28,278,893
MP0046_5,P0046,loss,17,244,15,278,1334
MP0046_6,P0046,loss,45,242,38,278,1655
MP0046_7,P0046,win,29,209,22,278,1577
MP0046_8,P0046,loss,39,244,32,278,2140
MP0046_9,P0046,loss,24,292,39,278,1800
MP0046_10,P0046,loss,39,264,29,278,1144
MP0046_11,P0046,loss,18,265,19,278,1919
MP0047_0,P0047,loss,11,284,31,530,869
MP0047_1,P0047,loss,11,274,39,530,813
MP0047_2,P0047,win,22,219,17,530,1109
MP0047_3,P0047,win,37,168,26,530,923
MP0047_4,P0047,loss,38,246,36,530,1799
MP0047_5,P0047,win,43,169,28,530,824
MP0047_6,P0047,loss,25,169,32,530,1387
MP0047_7,P0047,loss,35,169,40,530,1167
MP0047_8,P0047,loss,41,180,19,530,1293
MP0047_9,P0047,loss,24,191,26,530,1347
MP0047_10,P0047,win,31,268,27,530,1740
MP0047_11,P0047,win,22,239,24,530,2200
MP0048_0,P0048,loss,10,223,17,877,1630
MP0048_1,P0048,win,38,188,16,877,2104
MP0048_2,P0048,loss,13,141,30,877,1688
MP0048_3,P0048,loss,44,222,18,877,1881
MP0048_4,P0048,win,21,257,37,877,1960
MP0048_5,P0048,win,12,200,36,877,1374
